Ticker,Opportunities,Threats
A,1. Large number of mergers and acquisitions leads to inorganic growth that allows leveraging on diverse knowhow,1. Intense competition across all segments
A,"2. Semiconductors market has been showing positive, double-digit growth which is expected to continue till 2016","2. Government regulations – international, national, state and product-specific pose threats as compliance to these different standards can increase costs"
A,"3. Strategic collaboration in the fields such as co-marketing, target enrichment systems, etc to yield positive results",3. Future products may be subject to liabilities due to environmental contamination generated by past products
-,-,-
AAL,1. Leverage on code share agreement with a number of airlines,1. Increasing Fuel Costs and Increasing Labor Costs
AAL,2. Capitalization on growth of HDTV,2. Pressure from regulation bodies and govt policies
AAL,3. More international destinations on popular routes,3. Low fare service providers
-,-,-
AAP,1. Integrate forward- Manufacture customized automobiles and designs as a new business through JV with auto companies,"
1. Customer prefers to buy parts from authorized dealer of company
"
AAP,2. Export opportunity to developing country,2.Low maintenance car is potential threat to this type of business mode
AAP,3. Participation in various auto expos and displaying auto design,-
-,-,-
AAPL,1. Apple can move into other computer or media product spaces that are not served well,1. Huge threat from competitors who are in mode of constant innovation
AAPL,2. Strategic alliance and innovations in technologies,2. The rise of Android ecosystem in the mobile and tablet space
AAPL,"3. People With increase in demand of Online Products people want more online music and content and Apple is tapping this market by bringing innovative products, so it can lead the market","3. Mobile business is very dynamic and price sensitive especially when it comes to geographies like India, China, Brazil etc."
AAPL,4. Apple can enter gaming console market to compete with PS4 and Xbox One,-
-,-,-
ABC,1. Increasing access to healthcare due to healthcare reforms in U.S,1. Disruption of global supply chain due to natural disasters
ABC,2. Increasing cost pressures of other pharma companies makes them good clients for AmerisourceBergen,"2. Economic recession affects prescription pharmaceutical business, which in turn poses threat to AmerisourceBergen"
ABC,3. Tie-ups and acquisitions of global pharma brands and hospitals,3. Strict govt policies relating to the pharma industry
-,-,-
ABT,"1. Broad-based medical innovation, in technologies and businesses across the spectrum of health care",1. Increasing obsolesce of technology
ABT,2. Pioneering solutions that advance health care,2. Competition from peers
ABT,3. Address health needs in under-developed and poor countries,-
